ID,survey_finish_time,sex,sex2,age,year,location,location2,location3,KLikert,KBinary,KBinaryAll,KExpl,KExplSimple,KProfits,Int,IntUmyślnie,IntCelowo,IntŚwiadomie,Intention,BSądził,BPrzekonany,Aware,Reasons,Condition,Scale,Form,edu
16,299,Kobieta,NA,55 lat lub więcej,57,duże miasto (od 100 do 500 tys. mieszkańców),NA,200 – 500 tys. mieszkańców,3,NA,Yes,"Dyrektor miał powody, by sądzić, że wdrożenie programu zaszkodzi środowisku.",R,2,2,3,2,3,2,1,2,3,3,Harm,LIK,PR,Zawodowe lub policealne
17,191,Kobieta,NA,35-44 lata,43,wieś,NA,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że stan środowiska może się polepszyć.",Q,3,0,0,0,0,0,1,2,1,1,Help,FC,ST,Wyższe licencjackie lub inżynierskie
18,156,Mężczyzna,NA,25-34 lata,34,małe miasto (do 20 tys. mieszkańców),NA,NA,0,NA,Neither,"Nie było jasne, czy dyrektor zdawał sobie sprawę, czy nie zdawał sobie sprawy, że stan środowiska może się polep",Q,0,0,1,0,0,0,0,0,0,0,Help,LIK,ST,Zawodowe lub policealne
19,139,Kobieta,NA,55 lat lub więcej,63,wieś,NA,NA,NA,0,No,"Dyrektor nie był przekonany, że wdrożenie programu zaszkodzi środowisku.",B,1,1,1,1,1,1,1,1,1,1,Harm,FC,PR,Średnie
20,183,Kobieta,NA,35-44 lata,35,duże miasto (od 100 do 500 tys. mieszkańców),NA,200 – 500 tys. mieszkańców,NA,0,No,"Dyrektor nie miał powodów, by sądzić, że stan środowiska się polepszy.",R,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,Help,FC,ST,Wyższe magisterskie
21,234,Mężczyzna,NA,25-34 lata,33,małe miasto (do 20 tys. mieszkańców),NA,NA,NA,1,Yes,"Dyrektor był przekonany, że zaszkodzi środowisku.",B,3,1,3,3,3,3,2,3,2,2,Harm,FC,AG,Wyższe magisterskie
22,199,Mężczyzna,NA,45-54 lata,45,średnie miasto (od 20 do 99 tys. mieszkańców),50 – 99 tys. mieszkańców,NA,NA,0,No,"Dyrektor nie zdawał sobie sprawy, że wdrożenie programu może pomóc środowisku.",Q,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,Help,FC,PR,Wyższe magisterskie
23,2019,Kobieta,NA,35-44 lata,40,średnie miasto (od 20 do 99 tys. mieszkańców),50 – 99 tys. mieszkańców,NA,2,NA,Yes,"Dyrektor zdawał sobie sprawę, że stan środowiska może się polepszyć.",Q,3,0,-3,-3,-3,-3,1,1,1,2,Help,LIK,ST,Wyższe magisterskie
24,152,Mężczyzna,NA,35-44 lata,40,duże miasto (od 100 do 500 tys. mieszkańców),NA,200 – 500 tys. mieszkańców,-1,NA,No,"Dyrektor nie był przekonany, że stan środowiska się polepszy.",B,2,0,-1,-1,-1,0,1,-1,1,1,Help,LIK,ST,Wyższe magisterskie
25,362,Mężczyzna,NA,35-44 lata,35,małe miasto (do 20 tys. mieszkańców),NA,NA,3,NA,Yes,Inne,O,2,0,2,0,3,-1,3,1,3,3,Harm,LIK,ST,Wyższe licencjackie lub inżynierskie
26,360,Mężczyzna,NA,55 lat lub więcej,75,małe miasto (do 20 tys. mieszkańców),NA,NA,-2,NA,No,"Dyrektor nie był przekonany, że wdrożenie programu pomoże środowisku.",B,-1,-2,-3,-2,-2,-3,-3,-3,-3,-2,Help,LIK,PR,Zawodowe lub policealne
27,510,Mężczyzna,NA,55 lat lub więcej,73,średnie miasto (od 20 do 99 tys. mieszkańców),20 – 49 tys. mieszkańców,NA,3,NA,Yes,"Dyrektor zdawał sobie sprawę, że wdrożenie programu może zaszkodzić środowisku.",Q,3,3,3,3,3,3,3,3,3,3,Harm,LIK,PR,Średnie
28,262,Mężczyzna,NA,55 lat lub więcej,61,średnie miasto (od 20 do 99 tys. mieszkańców),20 – 49 tys. mieszkańców,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że stan środowiska może się polepszyć.",Q,3,1,-1,-3,3,-3,0,3,3,3,Help,FC,ST,Zawodowe lub policealne
29,200,Kobieta,NA,25-34 lata,33,duże miasto (od 100 do 500 tys. mieszkańców),NA,100 – 200 tys. mieszkańców,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że może zaszkodzić środowisku.",Q,3,3,0,0,3,-3,0,0,3,3,Harm,FC,AG,Zawodowe lub policealne
30,262,Kobieta,NA,55 lat lub więcej,74,wieś,NA,NA,2,NA,Yes,"Dyrektor zdawał sobie sprawę, że może zaszkodzić środowisku.",Q,3,1,3,2,3,0,3,3,3,2,Harm,LIK,AG,Średnie
31,189,Kobieta,NA,35-44 lata,36,wieś,NA,NA,NA,1,Yes,Inne,O,3,1,-2,-3,-2,-2,-3,-1,2,0,Help,FC,ST,Wyższe magisterskie
32,199,Mężczyzna,NA,45-54 lata,51,małe miasto (do 20 tys. mieszkańców),NA,NA,0,NA,Neither,"Nie było jasne, czy dyrektor był, czy nie był przekonany, że stan środowiska się polepszy.",B,0,0,0,0,0,0,0,0,0,0,Help,LIK,ST,Zawodowe lub policealne
33,113,Mężczyzna,NA,25-34 lata,28,wieś,NA,NA,3,NA,Yes,"Dyrektor był przekonany, że wdrożenie programu pomoże środowisku.",B,3,-3,0,-3,0,0,3,3,3,3,Help,LIK,PR,Zawodowe lub policealne
34,179,Mężczyzna,NA,35-44 lata,40,wielkie miasto (powyżej 500 tys. mieszkańców),NA,NA,3,NA,Yes,"Dyrektor miał powody, by sądzić, że stan środowiska się pogorszy.",R,3,2,3,2,3,2,3,3,3,3,Harm,LIK,ST,Doktorat lub więcej
35,4625,Mężczyzna,NA,25-34 lata,33,średnie miasto (od 20 do 99 tys. mieszkańców),20 – 49 tys. mieszkańców,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że może pomóc środowisku.",Q,3,-3,-3,-3,-3,-3,0,-3,1,1,Help,FC,AG,Średnie
36,168,Mężczyzna,NA,35-44 lata,44,wielkie miasto (powyżej 500 tys. mieszkańców),NA,NA,NA,1,Yes,"Dyrektor był przekonany, że zaszkodzi środowisku.",B,3,2,0,0,3,1,2,3,2,3,Harm,FC,AG,Wyższe magisterskie
37,170,Kobieta,NA,25-34 lata,33,średnie miasto (od 20 do 99 tys. mieszkańców),50 – 99 tys. mieszkańców,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że stan środowiska może się pogorszyć.",Q,2,1,2,2,1,0,2,2,2,2,Harm,FC,ST,Wyższe magisterskie
38,206,Kobieta,NA,25-34 lata,32,duże miasto (od 100 do 500 tys. mieszkańców),NA,200 – 500 tys. mieszkańców,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że stan środowiska może się pogorszyć.",Q,2,2,2,2,2,2,2,2,2,2,Harm,FC,ST,Wyższe magisterskie
39,376,Kobieta,NA,55 lat lub więcej,58,średnie miasto (od 20 do 99 tys. mieszkańców),50 – 99 tys. mieszkańców,NA,3,NA,Yes,"Dyrektor zdawał sobie sprawę, że wdrożenie programu może zaszkodzić środowisku.",Q,3,0,3,3,3,3,0,3,3,3,Harm,LIK,PR,Średnie
40,171,Mężczyzna,NA,25-34 lata,28,wieś,NA,NA,3,NA,Yes,"Dyrektor zdawał sobie sprawę, że wdrożenie programu może zaszkodzić środowisku.",Q,3,3,3,3,3,3,3,3,3,3,Harm,LIK,PR,Podstawowe
41,156,Kobieta,NA,25-34 lata,30,wielkie miasto (powyżej 500 tys. mieszkańców),NA,NA,-1,NA,No,"Dyrektor nie zdawał sobie sprawy, że może pomóc środowisku.",Q,2,-2,-2,-3,-2,-3,-2,-2,-2,-2,Help,LIK,AG,Wyższe magisterskie
42,420,Mężczyzna,NA,35-44 lata,36,średnie miasto (od 20 do 99 tys. mieszkańców),20 – 49 tys. mieszkańców,NA,0,NA,Neither,"Nie było jasne, czy dyrektor miał powody, czy nie miał powodów, by sądzić, że stan środowiska się polepszy.",R,3,1,-1,-1,-1,-1,-1,1,1,1,Help,LIK,ST,Zawodowe lub policealne
43,147,Mężczyzna,NA,25-34 lata,28,wieś,NA,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że stan środowiska może się pogorszyć.",Q,3,3,3,3,3,3,3,3,3,3,Harm,FC,ST,Wyższe magisterskie
44,228,Mężczyzna,NA,25-34 lata,32,duże miasto (od 100 do 500 tys. mieszkańców),NA,100 – 200 tys. mieszkańców,NA,1,Yes,"Dyrektor był przekonany, że zaszkodzi środowisku.",B,2,2,1,1,0,1,0,2,1,1,Harm,FC,AG,Wyższe licencjackie lub inżynierskie
45,1275,Mężczyzna,NA,25-34 lata,34,wieś,NA,NA,NA,0,No,"Dyrektor nie miał powodów, by sądzić, że pomoże środowisku.",R,3,-3,-3,3,-3,-3,0,0,3,3,Help,FC,AG,Wyższe magisterskie
46,229,Kobieta,NA,55 lat lub więcej,60,wielkie miasto (powyżej 500 tys. mieszkańców),NA,NA,3,NA,Yes,"Dyrektor zdawał sobie sprawę, że stan środowiska może się pogorszyć.",Q,3,3,2,2,3,2,2,2,2,2,Harm,LIK,ST,Wyższe magisterskie
47,139,Mężczyzna,NA,45-54 lata,48,wieś,NA,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że stan środowiska może się polepszyć.",Q,2,-2,-2,-3,-3,-3,-1,-1,-1,-1,Help,FC,ST,Zawodowe lub policealne
48,245,Mężczyzna,NA,45-54 lata,51,średnie miasto (od 20 do 99 tys. mieszkańców),20 – 49 tys. mieszkańców,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że wdrożenie programu może zaszkodzić środowisku.",Q,3,3,0,2,3,2,3,3,3,3,Harm,FC,PR,Wyższe magisterskie
49,510,Mężczyzna,NA,45-54 lata,47,małe miasto (do 20 tys. mieszkańców),NA,NA,3,NA,Yes,"Dyrektor zdawał sobie sprawę, że wdrożenie programu może zaszkodzić środowisku.",Q,3,1,1,1,3,1,2,1,3,3,Harm,LIK,PR,Wyższe magisterskie
50,154,Kobieta,NA,25-34 lata,34,duże miasto (od 100 do 500 tys. mieszkańców),NA,200 – 500 tys. mieszkańców,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że wdrożenie programu może pomóc środowisku.",Q,3,-3,-3,-3,-3,-3,1,1,2,1,Help,FC,PR,Wyższe magisterskie
51,171,Mężczyzna,NA,25-34 lata,34,wieś,NA,NA,3,NA,Yes,"Dyrektor zdawał sobie sprawę, że wdrożenie programu może pomóc środowisku.",Q,3,3,3,3,3,3,3,3,3,3,Help,LIK,PR,Średnie
52,228,Mężczyzna,NA,25-34 lata,28,wieś,NA,NA,3,NA,Yes,"Dyrektor był przekonany, że stan środowiska się pogorszy.",B,3,3,3,2,3,3,2,3,3,3,Harm,LIK,ST,Średnie
53,279,Mężczyzna,NA,35-44 lata,35,duże miasto (od 100 do 500 tys. mieszkańców),NA,200 – 500 tys. mieszkańców,3,NA,Yes,"Dyrektor był przekonany, że zaszkodzi środowisku.",B,3,-3,3,-3,3,-3,3,3,3,3,Harm,LIK,AG,Wyższe magisterskie
54,161,Mężczyzna,NA,35-44 lata,36,średnie miasto (od 20 do 99 tys. mieszkańców),50 – 99 tys. mieszkańców,NA,NA,0,No,"Dyrektor nie miał powodów, by sądzić, że wdrożenie programu zaszkodzi środowisku.",R,0,0,0,0,0,0,0,0,0,0,Harm,FC,PR,Zawodowe lub policealne
55,346,Mężczyzna,NA,55 lat lub więcej,70,średnie miasto (od 20 do 99 tys. mieszkańców),50 – 99 tys. mieszkańców,NA,3,NA,Yes,"Dyrektor zdawał sobie sprawę, że może zaszkodzić środowisku.",Q,3,3,3,3,3,3,3,3,3,3,Harm,LIK,AG,Wyższe magisterskie
56,486,Mężczyzna,NA,55 lat lub więcej,69,wieś,NA,NA,NA,0,No,"Dyrektor nie zdawał sobie sprawy, że wdrożenie programu może pomóc środowisku.",Q,3,3,3,-3,-3,-3,-3,-3,-3,-3,Help,FC,PR,Wyższe magisterskie
57,217,Kobieta,NA,45-54 lata,48,wieś,NA,NA,1,NA,Yes,"Dyrektor był przekonany, że stan środowiska się pogorszy.",B,3,2,2,2,2,2,2,2,3,3,Harm,LIK,ST,Wyższe licencjackie lub inżynierskie
58,325,Mężczyzna,NA,45-54 lata,54,średnie miasto (od 20 do 99 tys. mieszkańców),50 – 99 tys. mieszkańców,NA,NA,0,No,"Dyrektor nie był przekonany, że pomoże środowisku.",B,0,1,0,1,1,0,1,1,1,0,Help,FC,AG,Zawodowe lub policealne
59,240,Kobieta,NA,45-54 lata,49,wielkie miasto (powyżej 500 tys. mieszkańców),NA,NA,3,NA,Yes,"Dyrektor zdawał sobie sprawę, że wdrożenie programu może zaszkodzić środowisku.",Q,3,3,0,0,3,-2,3,0,3,2,Harm,LIK,PR,Wyższe magisterskie
60,281,Mężczyzna,NA,55 lat lub więcej,56,wieś,NA,NA,NA,1,Yes,"Dyrektor był przekonany, że stan środowiska się pogorszy.",B,3,3,2,1,2,2,3,2,3,3,Harm,FC,ST,Średnie
61,197,Mężczyzna,NA,45-54 lata,49,wielkie miasto (powyżej 500 tys. mieszkańców),NA,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że stan środowiska może się pogorszyć.",Q,3,0,3,3,3,0,-3,-3,3,0,Harm,FC,ST,Średnie
62,267,Mężczyzna,NA,45-54 lata,49,duże miasto (od 100 do 500 tys. mieszkańców),NA,200 – 500 tys. mieszkańców,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że może zaszkodzić środowisku.",Q,3,0,3,-1,2,-2,3,0,2,1,Harm,FC,AG,Wyższe magisterskie
63,234,Kobieta,NA,55 lat lub więcej,58,średnie miasto (od 20 do 99 tys. mieszkańców),20 – 49 tys. mieszkańców,NA,3,NA,Yes,"Dyrektor był przekonany, że stan środowiska się pogorszy.",B,2,3,3,3,3,3,3,3,3,3,Harm,LIK,ST,Średnie
64,251,Mężczyzna,NA,55 lat lub więcej,63,duże miasto (od 100 do 500 tys. mieszkańców),NA,100 – 200 tys. mieszkańców,NA,1,Yes,Inne,O,3,-1,-3,-3,-3,0,2,2,2,1,Help,FC,PR,Średnie
65,243,Mężczyzna,NA,25-34 lata,30,wielkie miasto (powyżej 500 tys. mieszkańców),NA,NA,3,NA,Yes,"Dyrektor był przekonany, że zaszkodzi środowisku.",B,3,-3,3,-3,3,-3,3,3,3,3,Harm,LIK,AG,Wyższe licencjackie lub inżynierskie
66,169,Mężczyzna,NA,45-54 lata,47,małe miasto (do 20 tys. mieszkańców),NA,NA,1,NA,Yes,"Dyrektor był przekonany, że wdrożenie programu pomoże środowisku.",B,3,1,1,1,1,1,1,1,1,1,Help,LIK,PR,Średnie
67,4208,Mężczyzna,NA,45-54 lata,54,średnie miasto (od 20 do 99 tys. mieszkańców),50 – 99 tys. mieszkańców,NA,2,NA,Yes,"Dyrektor zdawał sobie sprawę, że może pomóc środowisku.",Q,2,-2,-3,-3,0,-1,0,0,1,1,Help,LIK,AG,Wyższe magisterskie
68,370,Kobieta,NA,35-44 lata,35,wieś,NA,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że stan środowiska może się polepszyć.",Q,3,1,-3,-1,-1,-1,0,-1,1,1,Help,FC,ST,Doktorat lub więcej
69,659,Kobieta,NA,45-54 lata,54,wielkie miasto (powyżej 500 tys. mieszkańców),NA,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że może zaszkodzić środowisku.",Q,3,3,2,2,3,2,3,3,3,3,Harm,FC,AG,Wyższe magisterskie
70,283,Mężczyzna,NA,18-24 lata,21,małe miasto (do 20 tys. mieszkańców),NA,NA,0,NA,Neither,"Nie było jasne, czy dyrektor miał powody, czy nie miał powodów, by sądzić, że wdrożenie programu pomoże środow",R,2,0,0,-2,-1,0,-2,-2,0,-2,Help,LIK,PR,Średnie
71,759,Kobieta,NA,55 lat lub więcej,62,wieś,NA,NA,NA,0,No,"Dyrektor nie zdawał sobie sprawy, że stan środowiska może się polepszyć.",Q,3,0,-3,-3,-3,-3,-3,-3,0,0,Help,FC,ST,Wyższe magisterskie
72,232,Mężczyzna,NA,55 lat lub więcej,62,małe miasto (do 20 tys. mieszkańców),NA,NA,3,NA,Yes,"Dyrektor zdawał sobie sprawę, że wdrożenie programu może zaszkodzić środowisku.",Q,2,3,3,3,3,2,3,3,3,3,Harm,LIK,PR,Wyższe magisterskie
73,350,Kobieta,NA,55 lat lub więcej,70,średnie miasto (od 20 do 99 tys. mieszkańców),20 – 49 tys. mieszkańców,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że wdrożenie programu może pomóc środowisku.",Q,3,-3,-3,-3,0,-3,3,3,3,3,Help,FC,PR,Średnie
74,220,Kobieta,NA,45-54 lata,52,duże miasto (od 100 do 500 tys. mieszkańców),NA,100 – 200 tys. mieszkańców,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że może zaszkodzić środowisku.",Q,3,3,0,0,3,2,3,2,3,2,Harm,FC,AG,Wyższe licencjackie lub inżynierskie
75,131,Kobieta,NA,55 lat lub więcej,55,wielkie miasto (powyżej 500 tys. mieszkańców),NA,NA,-2,NA,No,"Dyrektor nie zdawał sobie sprawy, że może zaszkodzić środowisku.",Q,0,-1,0,0,0,-2,0,0,0,-1,Harm,LIK,AG,Średnie
76,189,Kobieta,NA,25-34 lata,30,wieś,NA,NA,NA,0,No,"Dyrektor nie zdawał sobie sprawy, że stan środowiska może się polepszyć.",Q,3,-1,-1,-2,1,0,-2,-1,1,-1,Help,FC,ST,Wyższe magisterskie
77,220,Kobieta,NA,55 lat lub więcej,64,średnie miasto (od 20 do 99 tys. mieszkańców),20 – 49 tys. mieszkańców,NA,NA,1,Yes,"Dyrektor był przekonany, że stan środowiska się polepszy.",B,1,2,2,2,2,1,1,1,1,1,Help,FC,ST,Średnie
78,435,Mężczyzna,NA,45-54 lata,53,wieś,NA,NA,1,NA,Yes,"Dyrektor miał powody, by sądzić, że wdrożenie programu zaszkodzi środowisku.",R,3,2,3,3,3,1,3,3,3,3,Harm,LIK,PR,Średnie
79,204,Mężczyzna,NA,35-44 lata,39,małe miasto (do 20 tys. mieszkańców),NA,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że może zaszkodzić środowisku.",Q,3,2,3,-2,3,3,-3,3,3,2,Harm,FC,AG,Wyższe licencjackie lub inżynierskie
80,267,Mężczyzna,NA,45-54 lata,50,wieś,NA,NA,NA,1,Yes,"Dyrektor miał powody, by sądzić, że zaszkodzi środowisku.",R,2,1,-1,0,3,0,1,1,2,3,Harm,FC,AG,Wyższe magisterskie
81,194,Kobieta,NA,55 lat lub więcej,61,wieś,NA,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że stan środowiska może się polepszyć.",Q,3,2,2,1,2,1,1,1,1,2,Help,FC,ST,Średnie
82,254,Kobieta,NA,55 lat lub więcej,65,duże miasto (od 100 do 500 tys. mieszkańców),NA,200 – 500 tys. mieszkańców,-3,NA,No,"Dyrektor nie zdawał sobie sprawy, że wdrożenie programu może pomóc środowisku.",Q,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,Help,LIK,PR,Wyższe magisterskie
83,255,Mężczyzna,NA,55 lat lub więcej,74,wielkie miasto (powyżej 500 tys. mieszkańców),NA,NA,3,NA,Yes,"Dyrektor był przekonany, że zaszkodzi środowisku.",B,3,2,2,2,3,2,2,3,3,3,Harm,LIK,AG,Wyższe licencjackie lub inżynierskie
84,1572,Mężczyzna,NA,55 lat lub więcej,66,wieś,NA,NA,2,NA,Yes,"Dyrektor zdawał sobie sprawę, że wdrożenie programu może zaszkodzić środowisku.",Q,2,2,2,3,2,2,0,2,2,3,Harm,LIK,PR,Średnie
85,888,Mężczyzna,NA,55 lat lub więcej,67,wieś,NA,NA,NA,1,Yes,"Dyrektor miał powody, by sądzić, że wdrożenie programu zaszkodzi środowisku.",R,3,3,3,1,3,3,3,3,3,3,Harm,FC,PR,Zawodowe lub policealne
86,229,Kobieta,NA,55 lat lub więcej,59,średnie miasto (od 20 do 99 tys. mieszkańców),20 – 49 tys. mieszkańców,NA,NA,0,No,"Dyrektor nie zdawał sobie sprawy, że może pomóc środowisku.",Q,3,3,-3,-3,-3,-3,-3,-3,-3,-3,Help,FC,AG,Średnie
87,153,Kobieta,NA,25-34 lata,33,średnie miasto (od 20 do 99 tys. mieszkańców),20 – 49 tys. mieszkańców,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że stan środowiska może się pogorszyć.",Q,3,2,2,3,3,1,2,3,3,2,Harm,FC,ST,Wyższe magisterskie
88,278,Kobieta,NA,55 lat lub więcej,69,duże miasto (od 100 do 500 tys. mieszkańców),NA,200 – 500 tys. mieszkańców,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że może pomóc środowisku.",Q,3,1,0,0,-1,0,0,-1,1,0,Help,FC,AG,Zawodowe lub policealne
89,178,Kobieta,NA,55 lat lub więcej,66,małe miasto (do 20 tys. mieszkańców),NA,NA,NA,1,Yes,"Dyrektor był przekonany, że stan środowiska się pogorszy.",B,3,3,3,3,3,3,3,3,3,3,Harm,FC,ST,Średnie
90,153,Kobieta,NA,55 lat lub więcej,61,wielkie miasto (powyżej 500 tys. mieszkańców),NA,NA,0,NA,Neither,"Nie było jasne, czy dyrektor był, czy nie był przekonany, że pomoże środowisku.",B,0,0,0,0,0,0,0,0,0,0,Help,LIK,AG,Średnie
91,659,Kobieta,NA,55 lat lub więcej,67,średnie miasto (od 20 do 99 tys. mieszkańców),50 – 99 tys. mieszkańców,NA,NA,0,No,"Dyrektor nie zdawał sobie sprawy, że wdrożenie programu może pomóc środowisku.",Q,3,3,-3,-3,-3,-3,-3,-3,-3,-3,Help,FC,PR,Średnie
92,1081,Kobieta,NA,55 lat lub więcej,61,wieś,NA,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że stan środowiska może się pogorszyć.",Q,3,3,3,3,3,3,3,3,3,3,Harm,FC,ST,Zawodowe lub policealne
93,2080,Kobieta,NA,55 lat lub więcej,61,wieś,NA,NA,NA,1,Yes,"Dyrektor był przekonany, że wdrożenie programu pomoże środowisku.",B,1,0,0,0,0,0,0,0,0,0,Help,FC,PR,Wyższe magisterskie
94,204,Kobieta,NA,55 lat lub więcej,61,średnie miasto (od 20 do 99 tys. mieszkańców),50 – 99 tys. mieszkańców,NA,-2,NA,No,"Dyrektor nie miał powodów, by sądzić, że stan środowiska się polepszy.",R,3,2,-2,-1,-2,0,0,0,-1,-2,Help,LIK,ST,Wyższe magisterskie
95,144,Kobieta,NA,45-54 lata,51,duże miasto (od 100 do 500 tys. mieszkańców),NA,100 – 200 tys. mieszkańców,3,NA,Yes,"Dyrektor zdawał sobie sprawę, że może zaszkodzić środowisku.",Q,2,2,2,2,2,2,2,2,2,2,Harm,LIK,AG,Zawodowe lub policealne
